X-axis well locations,Y-axis well locations,Layer of perforations,Injection/Production rates,Result
8,6,6,10000,0.851238292
50,11,4,30000,0.760182479
13,21,4,10000,0.835667083
45,4,4,20000,0.797527468
17,33,1,5000,0.701933567
5,37,6,30000,0.783987754
19,13,1,10000,0.702029995
22,37,8,30000,0.812252055
20,45,8,20000,0.854866949
9,49,2,5000,0.798024535
34,33,4,5000,0.848893928
8,50,7,10000,0.866216268
36,16,8,20000,0.859385342
26,38,4,10000,0.836721134
20,18,6,10000,0.865649048
36,43,8,5000,0.902952917
25,12,1,20000,0.704522322
12,36,3,5000,0.823610424
38,33,4,30000,0.772519453
33,19,5,20000,0.835221316
17,16,1,5000,0.711793733
6,46,1,30000,0.668770209
16,31,4,20000,0.81967529
41,42,1,20000,0.684503356
39,36,7,20000,0.836656795
41,20,5,30000,0.783392642
38,26,3,5000,0.831568678
20,5,5,30000,0.78013516
33,31,6,20000,0.847566127
48,15,3,5000,0.833362199
7,50,7,20000,0.831858863
2,36,8,10000,0.899729844
22,42,7,10000,0.859956598
47,26,4,5000,0.860890432
44,36,2,30000,0.726446272
49,36,3,10000,0.819853018
48,5,4,30000,0.758988777
35,9,7,5000,0.890019486
25,22,2,5000,0.796205058
30,36,6,10000,0.859551793
19,38,8,5000,0.902149479
21,41,8,10000,0.882717096
38,9,3,5000,0.821675805
32,39,4,10000,0.83100187
50,11,1,20000,0.697901292
34,35,8,10000,0.88396168
19,50,4,20000,0.804227647
10,44,3,30000,0.748417651
44,14,2,20000,0.756770237
16,48,1,10000,0.708126411
16,34,6,5000,0.878629111
2,19,8,10000,0.899624367
20,17,3,10000,0.817589416
34,49,1,20000,0.701694238
29,28,6,5000,0.884082096
23,4,7,20000,0.846187891
44,19,2,30000,0.731407236
46,34,5,20000,0.822522832
45,18,8,30000,0.8053701
2,33,1,20000,0.702094006
20,10,5,10000,0.844372014
21,4,4,30000,0.770531866
23,16,8,20000,0.864848665
27,7,6,10000,0.855051188
3,37,7,30000,0.793158669
22,41,1,20000,0.700635918
40,40,3,5000,0.820869959
21,6,5,30000,0.783299805
23,21,8,30000,0.8202328
6,29,4,5000,0.855581781
5,13,4,20000,0.800710538
43,8,5,5000,0.86090489
50,50,7,10000,0.865817007
37,27,8,5000,0.904885174
41,3,6,10000,0.854817159
42,25,1,30000,0.67924674
27,17,8,20000,0.866054614
45,50,4,5000,0.847680494
14,1,5,20000,0.816183747
23,25,4,30000,0.786019102
23,21,4,10000,0.84047994
3,10,3,20000,0.787040109
46,18,5,10000,0.845264913
32,4,5,20000,0.82356632
9,19,3,5000,0.827751823
27,20,5,5000,0.873927149
22,19,2,10000,0.79596768
42,19,7,5000,0.888656787
24,20,5,20000,0.839892703
4,46,2,10000,0.77443861
8,8,8,5000,0.896763179
21,39,8,5000,0.902219167
7,16,1,5000,0.69556147
35,20,1,20000,0.708459709
37,10,8,5000,0.896866852
26,1,7,10000,0.882467939
34,39,5,20000,0.826631223
26,49,1,30000,0.682068889
29,27,3,5000,0.829447481
23,3,4,20000,0.811460137
17,16,7,30000,0.805071291
5,23,5,5000,0.871045392
45,39,1,20000,0.686866556
36,20,7,10000,0.865711768
13,27,2,5000,0.792145549
25,2,5,5000,0.875683224
46,44,6,20000,0.812510321
33,27,4,30000,0.78260526
38,35,3,30000,0.755725759
25,14,1,20000,0.708270844
48,26,3,20000,0.792529796
43,12,4,10000,0.828317562
35,3,1,20000,0.699360689
14,18,5,5000,0.86677494
34,22,5,20000,0.836216204
8,41,5,20000,0.804393957
29,10,3,5000,0.828955884
23,14,6,20000,0.84471904
10,10,6,5000,0.876571053
14,32,1,10000,0.703614594
47,7,2,30000,0.721265612
19,41,1,20000,0.697946416
21,47,3,30000,0.755635124
46,26,6,30000,0.792323317
31,36,3,30000,0.762843487
50,27,2,10000,0.799841438
7,6,4,5000,0.843790879
38,18,3,30000,0.75687258
48,2,4,20000,0.795498573
38,40,4,5000,0.848040215
17,5,3,20000,0.789370821
24,29,6,30000,0.805811789
1,38,3,5000,0.830855811
41,46,5,10000,0.840277204
35,11,7,5000,0.888757007
45,5,1,20000,0.686371376
19,19,2,10000,0.793044575
30,47,2,5000,0.795082797
24,18,8,10000,0.909711488
16,16,4,20000,0.816136164
49,21,7,30000,0.796501201
5,38,3,30000,0.748056756
40,37,2,30000,0.728000993
45,48,2,30000,0.722403099
2,20,8,20000,0.850603147
26,48,5,30000,0.782217101
21,23,2,5000,0.79548121
46,38,4,10000,0.830589599
43,43,8,20000,0.843016988
4,26,5,10000,0.84715415
27,38,7,10000,0.867397333
41,29,5,10000,0.84347894
41,31,2,5000,0.786197525
8,30,8,10000,0.881016427
33,20,2,20000,0.772608356
12,42,5,5000,0.865618983
40,39,6,20000,0.822561902
42,23,4,30000,0.772480035
21,3,5,20000,0.824077907
3,1,1,20000,0.695041797
23,23,7,30000,0.815880498
45,31,2,30000,0.732749543
38,3,7,20000,0.83808278
43,41,7,5000,0.882182423
35,17,5,30000,0.788784976
44,42,3,30000,0.74892516
19,12,4,20000,0.814164267
15,6,2,20000,0.758620778
21,20,6,30000,0.803447019
16,1,8,10000,0.893363398
48,34,8,20000,0.849766096
41,14,2,5000,0.779089806
43,40,1,30000,0.668056705
33,3,2,20000,0.760839646
47,50,1,30000,0.671778667
48,33,6,5000,0.884211112
40,22,6,20000,0.841233093
22,21,1,10000,0.715609065
29,25,7,5000,0.893648111
5,17,8,10000,0.881417326
3,39,3,5000,0.830102043
14,44,3,5000,0.823765566
29,2,2,20000,0.763236278
26,9,6,20000,0.840151968
19,17,2,5000,0.789722445
17,19,7,30000,0.807000458
25,36,8,20000,0.864062888
26,36,4,10000,0.837933317
43,23,1,30000,0.678954125
49,13,4,5000,0.852708724
30,25,7,10000,0.878804671
18,28,3,5000,0.830628843
23,39,1,10000,0.70415736
16,23,7,5000,0.892958602
11,50,6,10000,0.85347261
15,6,3,30000,0.752565508
9,18,7,30000,0.798346235
49,7,5,20000,0.815373003
12,2,1,30000,0.674398053
6,25,6,30000,0.79241644
22,46,8,5000,0.906001194
39,13,4,10000,0.825761378
11,23,2,5000,0.788745087
36,15,1,20000,0.699810734
11,37,6,30000,0.789751136
40,32,7,20000,0.849105979
30,46,5,20000,0.824509434
19,14,5,5000,0.866321463
6,18,3,10000,0.814941153
6,25,2,10000,0.783830961
32,3,1,5000,0.71206826
16,10,3,5000,0.826036163
36,26,3,20000,0.800613834
46,33,7,5000,0.888599083
38,22,7,20000,0.852823481
20,20,3,20000,0.803974236
20,14,6,5000,0.879768344
22,40,5,30000,0.784568645
37,35,7,10000,0.861489246
10,45,4,20000,0.791204434
3,24,8,10000,0.902148782
40,23,1,30000,0.682869189
33,24,1,10000,0.713703126
4,35,4,10000,0.833095232
17,10,4,5000,0.849659847
19,43,2,30000,0.730878872
13,23,4,30000,0.777966474
24,36,5,10000,0.852521845
39,5,5,5000,0.867626022
11,20,2,10000,0.780610531
38,5,7,20000,0.838084268
43,28,7,20000,0.848753385
4,42,7,10000,0.859099068
48,8,5,20000,0.81498927
13,25,8,20000,0.862171756
50,16,7,30000,0.790680566
45,45,3,30000,0.74529646
2,39,5,10000,0.844628346
23,2,8,30000,0.804311378
4,15,3,5000,0.829584575
29,33,4,20000,0.822877618
5,6,3,30000,0.745559236
11,3,2,10000,0.77968961
12,2,8,10000,0.897414237
25,37,8,30000,0.815589468
45,31,4,5000,0.853638026
28,21,2,30000,0.744625265
31,18,3,5000,0.828474792
13,8,8,20000,0.85196359
20,25,4,10000,0.840488546
22,44,7,30000,0.79884172
13,32,1,5000,0.710478801
47,30,1,20000,0.700278035
32,15,7,20000,0.853200718
15,18,2,5000,0.7880508
43,22,2,20000,0.763437645
25,37,4,10000,0.837031194
50,21,6,10000,0.867161316
36,40,7,30000,0.79744397
8,8,3,20000,0.781425743
17,4,6,30000,0.788536976
25,27,7,30000,0.816043582
24,45,6,20000,0.837782313
32,29,1,30000,0.69228769
45,21,3,5000,0.830370755
6,37,5,5000,0.866728343
32,25,1,10000,0.714889616
4,1,8,10000,0.886738886
10,27,1,20000,0.701755838
46,37,4,30000,0.764965364
36,47,2,10000,0.781169916
14,4,7,10000,0.862750228
32,7,1,20000,0.695793069
45,29,8,20000,0.855725248
19,48,8,20000,0.850841245
3,23,3,30000,0.754388664
25,3,8,30000,0.804801367
9,20,3,10000,0.812207223
13,42,3,30000,0.750567495
23,45,6,30000,0.792090153
39,27,5,10000,0.848345
26,10,3,20000,0.79520708
43,37,5,10000,0.841958552
8,23,5,10000,0.846535235
31,15,4,10000,0.836601991
31,17,1,5000,0.704407099
34,8,1,10000,0.696216395
23,45,2,10000,0.782787981
27,14,4,10000,0.83700841
24,11,6,20000,0.84193112
29,50,8,20000,0.848867163
6,34,5,10000,0.843610616
23,28,6,30000,0.805925604
21,41,5,30000,0.78382887
3,35,1,10000,0.708083008
8,32,6,5000,0.879891735
2,13,6,30000,0.782267118
35,11,2,20000,0.760512364
35,38,2,5000,0.784173405
41,20,2,20000,0.763091338
41,3,8,5000,0.898677377
18,41,8,5000,0.901344854
46,18,7,5000,0.888501186
41,10,5,10000,0.842253799
7,27,1,20000,0.699901779
38,6,5,5000,0.866204763
4,19,4,20000,0.809669267
40,21,8,5000,0.900854469
50,8,3,20000,0.78032768
11,6,1,10000,0.691282965
8,15,6,5000,0.880789109
5,22,7,10000,0.860861903
7,28,1,10000,0.702183532
26,47,6,30000,0.789796692
34,8,2,20000,0.759729365
39,31,2,20000,0.76499822
44,30,2,30000,0.732057604
46,19,2,30000,0.729348344
25,7,6,10000,0.856377168
40,15,5,30000,0.781616823
14,34,5,30000,0.787287667
37,13,2,20000,0.760261458
47,35,8,20000,0.849682736
15,4,3,30000,0.750019038
17,34,1,30000,0.685289109
25,24,7,20000,0.863032295
50,30,5,10000,0.84895928
42,26,1,30000,0.679257926
37,7,3,10000,0.808644725
4,4,8,10000,0.876041402
49,45,5,30000,0.770106872
44,31,6,20000,0.831705174
10,17,5,5000,0.865098488
11,9,7,30000,0.793032927
49,11,4,20000,0.802525384
27,17,7,5000,0.893658973
33,17,2,30000,0.738408593
10,7,5,30000,0.774879887
12,25,5,20000,0.831120385
50,17,4,30000,0.762508325
7,13,3,5000,0.821699233
6,14,8,10000,0.879123379
45,3,5,20000,0.811469262
4,19,1,10000,0.706124687
47,42,1,5000,0.695749459
39,50,3,5000,0.834574074
30,45,6,5000,0.879529007
49,38,5,5000,0.869373701
29,32,6,20000,0.850235952
24,20,4,5000,0.852266504
15,12,6,20000,0.836631634
19,25,5,30000,0.795680461
50,6,6,10000,0.860172024
16,28,1,30000,0.689120235
3,19,2,5000,0.80293869
37,33,4,20000,0.815400202
17,29,2,30000,0.740578329
36,31,2,20000,0.768727544
44,41,7,5000,0.885987333
35,5,7,20000,0.838905346
40,47,8,30000,0.798313184
17,22,4,30000,0.781203138
38,28,5,10000,0.8486385
24,36,1,10000,0.709365961
1,26,4,10000,0.854939981
8,48,5,30000,0.772128575
36,32,2,10000,0.783971425
4,38,3,20000,0.78703458
30,28,4,10000,0.840403064
22,36,6,10000,0.86173072
6,45,3,30000,0.74534564
19,37,2,10000,0.783450038
8,14,4,20000,0.791873989
21,4,6,5000,0.881856984
3,2,2,5000,0.803846676
46,44,3,10000,0.806672223
42,30,3,30000,0.756803524
2,45,7,20000,0.830707649
12,25,6,30000,0.797987356
21,15,3,30000,0.763400182
23,30,6,30000,0.804714517
11,25,1,10000,0.703672551
21,37,4,5000,0.850724563
46,48,1,5000,0.702043861
39,45,2,10000,0.77301351
8,24,6,30000,0.792440024
8,46,2,20000,0.754794657
46,38,1,30000,0.670816128
37,21,7,20000,0.853475623
43,31,5,5000,0.867081915
28,17,7,30000,0.80926771
13,38,1,20000,0.692497068
45,21,1,30000,0.678677966
5,36,5,20000,0.822754734
40,7,2,20000,0.75461814
24,2,1,10000,0.713742228
8,29,2,20000,0.763429495
23,47,3,20000,0.79286228
48,21,7,10000,0.869008461
2,27,4,10000,0.841041812
42,37,3,10000,0.808044634
23,17,2,30000,0.741374089
26,14,3,5000,0.83166945
7,12,1,20000,0.686759473
3,20,8,5000,0.913725087
40,24,3,30000,0.76146755
42,20,7,30000,0.79894402
32,21,6,10000,0.861840502
29,26,2,30000,0.74587489
42,9,8,10000,0.877938888
47,32,8,10000,0.88041433
46,14,1,5000,0.697962867
6,20,3,30000,0.754404674
11,34,2,20000,0.761444479
40,46,2,10000,0.771617903
36,23,3,30000,0.764189068
21,10,1,10000,0.700268972
43,19,8,5000,0.899455178
14,48,6,30000,0.78578919
48,9,7,20000,0.836286377
43,3,2,20000,0.754441132
32,3,7,20000,0.84154
40,20,8,10000,0.882631574
4,14,4,5000,0.851659736
9,18,5,5000,0.866788141
34,48,4,30000,0.767570606
11,33,8,5000,0.904244662
48,18,1,20000,0.7003697
19,19,6,10000,0.862860918
48,45,1,5000,0.702125404
14,48,2,10000,0.787840991
26,2,6,5000,0.888594474
20,28,5,30000,0.795611116
31,41,8,5000,0.902792593
15,14,6,20000,0.838708688
18,25,5,5000,0.872828364
9,8,6,30000,0.783689168
39,37,4,20000,0.809290561
45,39,2,10000,0.772984751
38,23,8,5000,0.906970638
9,47,7,20000,0.837093547
4,33,8,10000,0.881416284
47,2,8,30000,0.793512984
21,30,3,10000,0.824339655
40,5,5,5000,0.864936932
1,28,6,5000,0.883554166
20,28,1,10000,0.715528787
22,13,2,20000,0.767589597
19,2,6,10000,0.865775539
9,8,2,10000,0.766164175
44,5,5,30000,0.770606114
43,30,3,20000,0.79282046
47,41,5,30000,0.773339083
15,40,7,30000,0.797532591
36,11,2,10000,0.771838623
5,50,5,10000,0.849481258
27,8,6,30000,0.792529783
15,3,1,10000,0.707776326
25,30,4,30000,0.784754725
4,16,8,10000,0.880854458
26,40,3,30000,0.757928554
22,50,7,10000,0.874714509
41,14,6,5000,0.879208118
9,28,8,30000,0.809894997
15,1,2,20000,0.757867496
45,43,8,30000,0.796105132
38,39,6,5000,0.877686605
29,38,7,20000,0.852771693
48,20,3,30000,0.753884163
19,46,8,5000,0.904834491
46,35,2,20000,0.759147699
48,40,7,10000,0.859612106
2,36,6,30000,0.785248999
29,8,6,30000,0.791957277
35,24,4,10000,0.838668898
24,33,2,10000,0.796009821
33,44,5,5000,0.868393457
11,3,4,5000,0.851570032
8,26,4,5000,0.856475703
45,43,4,10000,0.826225843
26,23,3,30000,0.770308371
37,34,1,20000,0.701152655
18,6,2,20000,0.7603185
8,33,1,10000,0.696695213
10,13,3,10000,0.80748494
7,43,2,20000,0.753655352
34,50,3,20000,0.785415661
4,32,6,10000,0.857311272
21,12,4,30000,0.773564761
46,18,2,20000,0.760709203
25,22,4,30000,0.785600466
30,45,4,30000,0.769409715
5,6,1,5000,0.690830524
38,1,1,10000,0.707650513
12,48,3,10000,0.812293139
32,22,6,20000,0.850278495
42,22,6,30000,0.792055175
13,14,7,20000,0.8413787
5,16,5,10000,0.844655644
15,28,8,5000,0.905095011
45,26,4,10000,0.834224229
27,17,1,10000,0.711923276
7,26,2,20000,0.764017861
43,28,6,5000,0.880616288
4,15,6,10000,0.855674686
34,32,1,5000,0.703371688
26,35,1,10000,0.710849369
13,3,6,30000,0.785557045
36,47,4,5000,0.852503228
48,6,7,10000,0.86168937
24,3,2,30000,0.733048709
18,6,3,30000,0.753406367
33,43,2,5000,0.784901858
25,34,2,10000,0.795455844
14,28,3,30000,0.763146149
3,30,2,30000,0.732356868
34,11,3,10000,0.810435373
34,50,4,30000,0.762562585
26,11,4,5000,0.854002934
15,22,5,30000,0.790557411
10,8,6,20000,0.81615573
30,33,7,30000,0.808733968
31,43,7,5000,0.888620372
7,9,2,20000,0.755310621
20,50,8,10000,0.894529133
17,43,1,5000,0.695779727
34,16,3,20000,0.797735305
50,43,5,5000,0.861267425
41,35,7,20000,0.840497079
34,43,3,5000,0.825823595
38,26,8,5000,0.90717558
15,15,4,5000,0.847715813
14,33,6,30000,0.796892828
6,7,6,20000,0.813852287
21,16,6,30000,0.800483534
40,23,5,30000,0.784446871
33,24,5,10000,0.852941066
7,7,1,5000,0.685710305
1,2,1,10000,0.704511708
14,39,1,20000,0.692687453
18,44,8,10000,0.876412807
22,49,1,5000,0.723747827
11,2,2,20000,0.758041173
6,24,7,30000,0.798970113
47,4,6,5000,0.871837287
16,41,4,20000,0.809676124
15,37,7,20000,0.848664894
28,1,5,30000,0.777277594
49,41,8,20000,0.847678715
36,4,8,10000,0.878173479
36,13,4,5000,0.848041179
33,6,5,20000,0.823910292
27,27,2,10000,0.807249359
34,42,4,30000,0.771102408
35,45,1,5000,0.69749864
21,21,2,20000,0.775725682
16,2,1,5000,0.713584763
46,27,8,30000,0.806651363
19,16,7,10000,0.865517392
13,34,6,20000,0.839898408
8,20,7,10000,0.860675145
35,35,2,30000,0.735404633
38,41,6,5000,0.877767471
40,35,3,10000,0.809442901
24,26,8,10000,0.910615126
19,20,3,10000,0.820458364
23,43,8,20000,0.857527661
2,3,5,30000,0.766464768
18,31,6,5000,0.882780174
16,44,5,5000,0.867843097
12,45,7,20000,0.827900225
9,36,3,20000,0.788353382
40,45,2,30000,0.722825981
24,35,2,10000,0.793511989
13,5,5,20000,0.815107661
46,6,8,10000,0.874023397
27,8,8,5000,0.900942951
35,38,5,10000,0.843548729
11,15,8,10000,0.878506599
40,22,3,30000,0.761073105
4,39,5,20000,0.816291782
19,3,3,10000,0.818739227
21,14,4,30000,0.778432437
8,8,7,20000,0.823931592
28,33,8,30000,0.818580221
21,34,8,10000,0.891060095
10,32,3,20000,0.792748389
37,7,5,5000,0.868700979
9,46,3,5000,0.819917013
40,50,3,5000,0.830515675
10,9,1,30000,0.667978465
12,5,5,30000,0.775586979
2,20,2,20000,0.762298938
46,2,2,30000,0.72039743
20,41,6,10000,0.852350565
40,5,3,30000,0.748786464
9,1,3,30000,0.746102756
23,26,2,5000,0.79630146
13,20,8,5000,0.902135534
43,9,1,10000,0.686870467
45,10,4,20000,0.791200978
25,36,1,10000,0.709581794
13,37,8,20000,0.855405876
34,24,1,30000,0.690820878
44,27,4,30000,0.772914648
29,5,3,10000,0.81380242
34,6,6,5000,0.879770388
42,36,3,10000,0.808255576
50,43,7,10000,0.871751186
26,19,1,20000,0.71589376
26,13,4,5000,0.855971119
12,22,2,20000,0.766188409
12,15,3,20000,0.790590766
12,9,6,5000,0.877866342
25,12,4,5000,0.854861159
6,38,8,20000,0.849574193
40,8,7,10000,0.859367607
14,27,7,10000,0.86985886
1,26,6,5000,0.887847235
28,20,2,5000,0.79069452
10,22,7,20000,0.850136837
3,46,4,30000,0.759068131
44,38,6,30000,0.785646804
30,35,3,10000,0.817226465
17,3,8,30000,0.804015118
14,41,1,20000,0.689705119
47,7,3,10000,0.809354401
2,11,8,5000,0.907544646
21,6,1,5000,0.698954713
28,25,5,5000,0.873796871
21,23,1,20000,0.717735596
41,19,5,5000,0.866969401
6,48,8,5000,0.895941732
30,29,1,30000,0.694060044
22,19,8,5000,0.910963286
24,37,5,30000,0.790778439
35,50,8,5000,0.910386502
22,6,1,30000,0.679366802
43,46,4,20000,0.792527403
10,48,8,30000,0.797873931
40,48,1,30000,0.674136695
16,25,4,30000,0.78120777
15,28,6,30000,0.800180724
13,36,6,20000,0.837590072
21,25,5,10000,0.857461823
26,12,1,5000,0.706306001
28,6,8,10000,0.887849693
24,43,1,20000,0.70035107
37,31,6,10000,0.856681072
34,49,4,5000,0.853720154
46,14,7,20000,0.834993699
47,22,3,5000,0.834738046
6,31,8,5000,0.901883614
41,30,7,5000,0.889752131
4,2,8,20000,0.839976371
3,7,5,20000,0.815436145
41,14,1,20000,0.689716914
14,7,1,20000,0.688833536
48,38,5,30000,0.776348674
25,48,4,5000,0.859465183
7,22,7,20000,0.847447605
30,5,1,5000,0.701652674
47,44,6,20000,0.816678755
27,21,2,5000,0.795645091
19,5,3,10000,0.816607531
31,43,5,30000,0.782974521
18,16,6,5000,0.879275569
12,27,8,10000,0.891705984
49,13,3,20000,0.787951648
27,11,3,30000,0.761226524
1,50,7,10000,0.865883883
3,48,8,5000,0.898934999
43,4,4,5000,0.844554271
48,43,6,5000,0.875750235
24,2,2,20000,0.764385374
31,33,4,30000,0.781373536
34,39,8,5000,0.898512847
28,39,2,5000,0.789978235
5,27,8,10000,0.888193829
35,27,1,10000,0.710540271
46,9,2,5000,0.779258415
1,1,5,20000,0.798234217
12,19,2,10000,0.780557701
6,40,7,20000,0.829348208
1,33,7,10000,0.86892768
20,6,2,30000,0.729457024
46,50,6,20000,0.816056235
14,9,3,30000,0.75114648
25,20,1,20000,0.717343646
35,49,6,20000,0.829256341
48,19,7,5000,0.890460137
6,17,5,30000,0.778877206
13,28,7,30000,0.80529799
14,29,7,10000,0.867458186
39,18,8,20000,0.857944959
49,30,3,5000,0.840085083
30,48,1,30000,0.679589642
24,28,3,30000,0.770370285
22,45,4,10000,0.833266983
44,12,4,30000,0.763565864
18,31,4,30000,0.781128652
36,9,7,10000,0.857592616
33,39,6,20000,0.839426958
33,46,5,20000,0.823217375
44,46,1,20000,0.684742799
33,14,1,5000,0.710523576
20,11,3,5000,0.828679175
25,3,1,20000,0.704172407
17,5,6,5000,0.88119228
11,17,3,30000,0.755581004
39,25,1,5000,0.706098427
43,20,1,20000,0.697443539
30,31,1,30000,0.692537393
49,23,7,10000,0.872926131
40,50,1,30000,0.672785432
35,31,3,10000,0.816623802
42,42,5,10000,0.83860797
6,6,7,20000,0.822497085
19,31,1,10000,0.711476722
41,1,8,20000,0.84008378
49,20,6,5000,0.880009409
7,42,6,10000,0.850326167
39,8,1,5000,0.689874959
3,8,5,30000,0.77196035
41,15,1,30000,0.673720464
47,24,3,5000,0.834253357
43,37,3,30000,0.75094059
43,50,8,10000,0.886682727
27,2,1,30000,0.682008547
40,33,1,30000,0.676433281
9,49,5,10000,0.846467983
19,13,2,20000,0.765542485
39,49,8,10000,0.897625058
28,9,5,30000,0.783810866
31,47,4,20000,0.810615822
18,31,1,20000,0.711671186
45,33,3,10000,0.814865789
32,13,8,30000,0.809830671
2,12,5,5000,0.868354809
44,48,3,30000,0.746646107
4,50,6,10000,0.859310682
18,36,1,30000,0.683866385
15,47,3,20000,0.788596587
25,35,5,20000,0.835799863
28,37,5,5000,0.870329243
38,19,1,10000,0.701896044
9,2,2,10000,0.7828569
29,4,7,20000,0.845655471
40,16,1,30000,0.675028933
1,32,3,30000,0.74937583
9,7,2,20000,0.755311349
42,12,5,30000,0.777238012
11,42,6,5000,0.876686461
39,37,8,20000,0.854600075
42,46,2,20000,0.75673365
37,32,3,10000,0.813832759
31,50,6,5000,0.87851853
23,46,5,20000,0.825357202
22,49,7,20000,0.841630562
28,31,2,30000,0.743929793
48,1,5,20000,0.804302238
20,30,2,5000,0.790148915
12,26,1,20000,0.704584471
16,14,5,30000,0.78313104
19,45,5,20000,0.823921874
39,15,8,10000,0.878784793
8,11,8,10000,0.878282143
44,14,3,30000,0.751727768
42,29,2,20000,0.763662799
11,27,7,5000,0.892760252
31,3,7,10000,0.868330633
49,48,6,20000,0.81922358
5,37,4,30000,0.764937426
20,17,4,20000,0.820641031
41,2,3,30000,0.748749254
11,12,8,20000,0.852024874
27,41,8,30000,0.810225595
32,44,8,20000,0.854964796
27,37,8,10000,0.886532739
33,16,1,5000,0.699291485
7,35,1,5000,0.695527592
32,49,8,30000,0.803484543
22,30,6,5000,0.883184237
29,47,5,20000,0.825277052
6,31,2,10000,0.782347203
3,28,4,20000,0.81153127
13,42,4,10000,0.826199168
40,47,1,20000,0.691820702
13,47,4,20000,0.80681852
11,19,1,5000,0.698342407
41,10,6,20000,0.81594982
48,39,8,30000,0.79985169
23,16,5,10000,0.852732065
42,21,2,20000,0.76335298
2,38,3,5000,0.834285272
46,18,6,20000,0.82949635
6,7,5,5000,0.860712851
5,19,1,20000,0.697065173
43,27,4,20000,0.813219432
43,39,2,30000,0.725292001
7,16,4,10000,0.832514912
45,35,6,30000,0.787849461
40,16,8,10000,0.879900872
20,27,3,10000,0.828298834
19,3,5,5000,0.87456385
13,29,4,30000,0.777879263
19,38,6,5000,0.880952865
8,10,6,10000,0.850002571
25,31,2,30000,0.74402132
16,2,4,10000,0.833217746
21,41,6,10000,0.852434744
2,28,4,30000,0.768999684
2,13,7,10000,0.867360587
42,31,4,30000,0.771695131
23,3,5,30000,0.781754099
16,6,2,5000,0.78477353
33,6,4,5000,0.851841124
5,29,1,5000,0.703435506
45,18,6,30000,0.787757367
43,35,7,10000,0.85978963
24,3,6,30000,0.790450827
1,1,1,20000,0.687541073
50,23,7,20000,0.839640853
32,14,4,20000,0.816527061
40,13,1,20000,0.68926227
24,32,4,10000,0.840014209
23,9,8,20000,0.858276036
2,1,7,20000,0.823256684
12,20,6,20000,0.841207112
26,22,5,30000,0.797198397
42,48,1,20000,0.696548827
13,5,4,5000,0.84839467
10,17,4,20000,0.810902176
46,17,3,20000,0.789263095
3,14,6,30000,0.786031659
1,46,4,30000,0.755948507
7,20,1,20000,0.696924663
47,37,1,10000,0.701958739
24,15,4,10000,0.837940943
36,13,8,5000,0.900203114
49,27,3,30000,0.754570879
26,17,6,30000,0.802853024
31,49,1,10000,0.712498725
44,38,4,5000,0.847657677
37,38,8,30000,0.807895727
17,17,1,10000,0.705522478
28,38,2,5000,0.79039697
39,6,7,20000,0.827831575
12,32,2,5000,0.785334989
32,7,4,5000,0.852760614
50,22,5,20000,0.819807627
42,13,2,30000,0.724686983
16,32,2,30000,0.738246748
3,36,3,30000,0.751823826
16,21,6,5000,0.88008687
21,38,7,30000,0.804730488
10,44,8,10000,0.877243244
28,13,6,10000,0.85527043
35,35,4,5000,0.848283549
37,38,4,10000,0.828691461
41,46,7,30000,0.789655466
33,32,5,30000,0.792194605
5,37,6,5000,0.879486258
23,6,4,5000,0.854671242
23,18,5,10000,0.85304192
32,6,5,30000,0.779957797
40,22,7,30000,0.804042693
35,47,3,10000,0.813363493
4,43,3,10000,0.811203691
24,17,6,20000,0.848454263
4,26,7,30000,0.796525304
21,30,1,30000,0.693491385
6,16,2,10000,0.777734653
2,15,7,10000,0.865443919
38,15,6,10000,0.851194354
26,43,4,20000,0.81314525
16,8,2,5000,0.781020691
10,38,3,10000,0.807390967
17,49,5,10000,0.847047273
32,11,6,5000,0.879577085
29,36,1,20000,0.708657252
30,15,5,10000,0.848627488
37,26,7,10000,0.866417826
6,33,3,20000,0.790070709
16,18,6,10000,0.856805498
13,34,7,10000,0.863169632
9,45,2,30000,0.721623487
43,46,3,5000,0.819604004
40,34,5,10000,0.842719341
13,14,4,30000,0.770346031
24,34,3,10000,0.824777527
11,11,4,5000,0.848124649
5,43,2,5000,0.778504971
42,38,5,5000,0.866787141
10,14,4,10000,0.826599852
20,26,7,5000,0.895124623
12,17,7,10000,0.862783954
44,42,1,30000,0.665704354
48,6,4,20000,0.801247417
20,45,2,20000,0.761403642
22,25,4,20000,0.826661029
32,5,3,30000,0.754212915
49,46,3,30000,0.743634877
19,37,8,5000,0.902523641
6,25,3,20000,0.792893753
14,41,5,20000,0.817112762
39,30,6,30000,0.797100456
37,20,2,10000,0.784260042
16,40,5,5000,0.865764758
28,10,7,30000,0.802974335
28,32,8,5000,0.911366557
20,27,3,30000,0.768502885
23,5,2,20000,0.762881504
38,18,8,10000,0.883051124
22,8,4,20000,0.812583589
31,44,4,5000,0.853573381
41,13,1,30000,0.672134081
40,37,7,10000,0.860878179
22,47,1,20000,0.701314695
1,5,6,20000,0.816123226
9,13,6,20000,0.82253201
36,4,5,20000,0.821551017
8,38,4,10000,0.828098661
20,3,4,30000,0.768838385
33,6,2,30000,0.72801657
36,31,5,5000,0.866966455
35,46,8,20000,0.849312872
14,41,6,30000,0.789335906
46,23,5,20000,0.825377188
33,7,2,20000,0.760520186
10,50,6,5000,0.876841097
